CreateTaskVisibilityPrivate|Private - Code changes visible only to participants
CreateTaskVisibilityPublic|Public - Code changes visible to everyone
DmcaCounterNotificationDescription|If you believe your content was removed in error, you may file a counter-notification containing:
DmcaCounterNotificationHeading|Counter-Notification
DmcaCounterNotificationItem1|Your physical or electronic signature
DmcaCounterNotificationItem2|Identification of the removed material and its prior location
DmcaCounterNotificationItem3|A statement under penalty of perjury that the material was removed by mistake or misidentification
DmcaCounterNotificationItem4|Your name, address, telephone number, and consent to jurisdiction of the federal court in your district
DmcaCounterProcessDescription|Upon receipt of a valid counter-notification, PrTask will forward it to the original complainant. If the complainant does not file a court action seeking a restraining order against the subscriber within 10 business days, PrTask will restore the removed content within 10 to 14 business days of receiving the counter-notification.
DmcaCounterProcessHeading|Counter-Notification Process
DmcaDescriptionHeading|About This DMCA Policy
DmcaDescriptionParagraph1|This DMCA Policy outlines PrTask's procedures for handling copyright infringement claims under the Digital Millennium Copyright Act (17 U.S.C. 512) and the EU Copyright Directive (Directive 2019/790). As a platform where developers submit code through pull requests, PrTask takes intellectual property protection seriously. We maintain a registered DMCA agent, implement a notice-and-takedown process, provide counter-notification procedures, and enforce a repeat infringer policy to protect both copyright holders and legitimate contributors.
DmcaDescriptionParagraph2|If you believe that code submitted through PrTask infringes on your copyright, this policy explains how to file a takedown notice with the required information. If your code was removed and you believe the takedown was in error, the counter-notification process allows you to contest the removal. PrTask processes all DMCA requests promptly and fairly, balancing the rights of copyright holders with the legitimate contributions of developers. For copyright-related inquiries, contact our designated DMCA agent using the information provided in this policy.
DmcaDesignatedAgentDescription|DMCA notices and counter-notifications should be sent to our designated agent: PrTask DMCA Agent, Email: dmca@prtask.com. Our designated agent information is registered with the U.S. Copyright Office as required by 17 U.S.C. 512(c)(2). You may also reach our designated agent by mail at the address listed on our Contact page.
DmcaDesignatedAgentHeading|Designated Agent
DmcaEuCopyrightDescription|In compliance with Article 17 of the EU Copyright Directive (Directive 2019/790), PrTask cooperates with rights holders and maintains a complaint and redress mechanism for copyright disputes. PrTask makes best efforts to obtain authorization for user-uploaded content where required and implements effective measures to prevent the availability of infringing content upon receiving notice from rights holders. Users whose content is affected by copyright enforcement actions have the right to file a complaint through our internal mechanism.
DmcaEuCopyrightHeading|EU Copyright Directive
DmcaFilingDescription|If you believe that content on PrTask infringes your copyright, please send a written notification to our designated agent with the following information:
DmcaFilingHeading|Filing a DMCA Notice
DmcaFilingItem1|A physical or electronic signature of the copyright owner or authorized agent
DmcaFilingItem2|Identification of the copyrighted work claimed to have been infringed
DmcaFilingItem3|Identification of the material that is claimed to be infringing, with sufficient detail to locate it on PrTask
DmcaFilingItem4|Your contact information including address, telephone number, and email address
DmcaFilingItem5|A statement that you have a good faith belief that use of the material is not authorized by the copyright owner, its agent, or the law
DmcaFilingItem6|A statement, under penalty of perjury, that the information in the notification is accurate and that you are authorized to act on behalf of the copyright owner
DmcaLastUpdated|Last updated: March 2026
DmcaOverviewDescription|PrTask respects the intellectual property rights of others and expects its users to do the same. In accordance with the Digital Millennium Copyright Act of 1998 (DMCA), we will respond promptly to claims of copyright infringement committed using our platform.
DmcaOverviewHeading|Overview
DmcaPageHeading|DMCA / Copyright Policy
DmcaRepeatInfringersDescription|PrTask maintains a repeat infringer policy as required for DMCA safe harbor protection. Users who receive two or more valid DMCA takedown notices will have their accounts permanently terminated. PrTask reserves the right to terminate accounts of repeat infringers at its sole discretion, even on a first offense in egregious cases. Terminated users forfeit any pending bounties and are permanently barred from creating new accounts.
DmcaRepeatInfringersHeading|Repeat Infringers
DmcaSafeHarborDescription|PrTask qualifies for safe harbor protection under Section 512 of the Digital Millennium Copyright Act (17 U.S.C. 512) as an online service provider. PrTask has registered a designated DMCA agent with the U.S. Copyright Office, implements and publishes a notice-and-takedown process, maintains a counter-notification procedure, has adopted and reasonably implements a repeat infringer policy, and accommodates standard technical measures used by copyright owners to identify or protect copyrighted works.
DmcaSafeHarborHeading|DMCA Safe Harbor
DmcaTakedownDescription|Upon receipt of a valid DMCA takedown notice, PrTask will expeditiously remove or disable access to the allegedly infringing material, notify the user who posted the content, and provide that user with a copy of the notice and information about how to file a counter-notification. PrTask will act promptly upon receiving a valid notice and will preserve evidence related to the allegedly infringing material for the duration of any dispute.
DmcaTakedownHeading|Takedown Process
DownloadDescriptionHeading|Download PrTask — Available on Multiple Platforms
DownloadDescriptionParagraph1|PrTask is available as a native application on multiple platforms, giving you the flexibility to manage tasks, review pull requests, and track payments from your preferred device. The Android app provides a full-featured mobile experience with offline support, push notifications, and biometric authentication. The Windows desktop application offers a native experience with system tray integration and local file access. Linux users can download the standalone binary for x64 systems, and the web application is always accessible at prtask.com from any modern browser.
